_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
1,5010,BATHURST ST,135m NORTH OF,COLLEGE ST,None,None,KING EDWARD PUBLIC SCHOOL,2544,9086483,,2544,"{""coordinates"": [[-79.40819999547631, 43.6577100019432]], ""type"": ""MultiPoint""}"
2,5012,BATHURST ST,None,SCADDING CRT,None,None,120m SOUTH OF DUNDAS ST W,2545,30061749,30061747,2545,"{""coordinates"": [[-79.4056040041994, 43.6512669957427]], ""type"": ""MultiPoint""}"
3,5014,ANGLESEY BLVD,None,HARTFIELD RD,None,None,HUMBER VALLEY CHURCH & SCHOOL,2546,9311720,13464700,2546,"{""coordinates"": [[-79.52851199795252, 43.66459700173547]], ""type"": ""MultiPoint""}"
4,5015,BAYVIEW AVE,None,PARKHURST BLVD,SOUDAN AVE,None,None,2547,493,13456739,2547,"{""coordinates"": [[-79.3763379938911, 43.708703999703154]], ""type"": ""MultiPoint""}"
5,5020,ANNETTE ST,None,DURIE ST,None,None,None,2548,7973898,13465420,2548,"{""coordinates"": [[-79.48257400128824, 43.65949400063825]], ""type"": ""MultiPoint""}"
6,5022,BLOOR ST W,None,PAULINE AVE,None,None,None,2549,1143991,13465325,2549,"{""coordinates"": [[-79.43760700578308, 43.659426003843265]], ""type"": ""MultiPoint""}"
7,5025,BROADVIEW AVE,None,TORRENS AVE,None,None,None,2550,10431226,13459803,2550,"{""coordinates"": [[-79.35516300377375, 43.690274001038205]], ""type"": ""MultiPoint""}"
8,5030,DANFORTH AVE,None,CAITHNESS AVE,None,None,None,2551,8066575,13461457,2551,"{""coordinates"": [[-79.33486100596515, 43.680948001135626]], ""type"": ""MultiPoint""}"
9,5040,DUNDAS ST E,None,ALTON AVE,None,None,None,2552,14022890,13463823,2552,"{""coordinates"": [[-79.32938299936899, 43.66728900132832]], ""type"": ""MultiPoint""}"
10,5041,DUNDAS ST E,None,BOND ST,None,None,None,2553,14021031,13465719,2553,"{""coordinates"": [[-79.37831699433877, 43.65626200053012]], ""type"": ""MultiPoint""}"
11,5045,DUNDAS ST E,None,GEORGE ST,None,None,None,2554,7649612,13465526,2554,"{""coordinates"": [[-79.37345799877177, 43.657302996987376]], ""type"": ""MultiPoint""}"
