,datetime,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID,Riders after stop,sch_adherence,bunched_or_gapped,mins delayed,bunched,gapped,morning_peak,midday,afternoon_peak,early_eve,late_eve,overnight,morning_peak_bunches,midday_bunches,afternoon_peak_bunches,early_eve_bunches,late_eve_bunches,morning_peak_gaps,midday_gaps,afternoon_peak_gaps,early_eve_gaps,late_eve_gaps,bound,bound_ordinal,_row_id,cond_sum,prev3hr_delays,prev_bunches
758254,2025-12-02 13:23:05,0 days 13:23:05,4446.0,,10:00,Scheduled at 1:23:05PM,West to High Park,2025-12-02,1,Dundas St West at Howard Park Ave,8595,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,55.0,758254,0.0,0.0,0.0
758255,2025-12-02 13:23:21,0 days 13:23:21,4449.0,0 days 00:02:48,10:00,1:20 behind 1:22:01PM,West to High Park,2025-12-02,1,St Matthews Rd,1447,,1.3333333333333333,0,1.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,24.0,758255,0.0,0.0,0.0
758256,2025-12-02 13:23:42,0 days 13:23:42,4619.0,0 days 00:05:58,10:00,6:53 behind 1:16:49PM,West to High Park,2025-12-02,1,Parliament St,10427,,6.883333333333334,0,6.883333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,28.0,758256,6.0,282.9166666666667,0.0
758257,2025-12-02 13:23:48,0 days 13:23:48,4485.0,0 days 00:20:06,10:00,9:58 behind 1:13:50PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,9.966666666666669,1,9.966666666666669,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,8.0,758257,0.0,0.0,0.0
758258,2025-12-02 13:24:19,0 days 13:24:19,4400.0,0 days 00:00:31,10:00,0:27 behind 1:23:52PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,0.45,-1,0.45,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,8.0,758258,0.0,0.0,0.0
758259,2025-12-02 13:24:22,0 days 13:24:22,4449.0,0 days 00:02:39,10:00,0:42 behind 1:23:40PM,West to High Park,2025-12-02,1,River St,10648,,0.7,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,25.0,758259,3.0,145.8,0.0
758260,2025-12-02 13:24:49,0 days 13:24:49,4446.0,,10:00,Scheduled at 1:24:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Roncesvalles Ave,1569,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,56.0,758260,0.0,33.53333333333333,0.0
758261,2025-12-02 13:25:16,0 days 13:25:16,4619.0,0 days 00:05:24,10:00,6:40 behind 1:18:36PM,West to High Park,2025-12-02,1,Parliament St at Carlton St,4615,,6.666666666666667,0,6.666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,29.0,758261,11.0,449.2833333333333,0.0
758262,2025-12-02 13:25:45,0 days 13:25:45,4485.0,0 days 00:20:20,10:00,10:00 behind 1:15:45PM,West to High Park,2025-12-02,1,Gerrard St East  at Coxwell Ave,8206,,10.0,1,10.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,10.0,758262,1.0,22.0,0.0
758263,2025-12-02 13:25:49,0 days 13:25:49,4446.0,,10:00,Scheduled at 1:25:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Indian Rd,971,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,57.0,758263,1.0,67.96666666666667,0.0
