datetime_hour,temp_c_hr,feels_like_c,precip_hr_mm,rain_hr_mm,snowfall_hr_cm,snow_depth_m,wind_kmh_hr,wind_gust_kmh,humidity_pct,wmo_code,cloud_cover_pct,is_raining,is_snowing,is_freezing
2024-01-01 00:00:00,0.4,-3.9,0.1,0.0,0.07,0.02,13.6,24.5,88,71,100,0,1,0
2024-01-01 01:00:00,0.1,-4.5,0.1,0.0,0.07,0.02,14.5,27.4,87,71,100,0,1,0
2024-01-01 02:00:00,-0.4,-5.0,0.1,0.0,0.07,0.02,14.0,27.7,84,71,100,0,1,0
2024-01-01 03:00:00,-0.8,-5.3,0.1,0.0,0.07,0.02,13.5,25.9,83,71,100,0,1,0
2024-01-01 04:00:00,-1.2,-5.8,0.2,0.0,0.14,0.02,12.7,25.6,81,71,100,0,1,0
2024-01-01 05:00:00,-1.6,-6.2,0.1,0.0,0.07,0.02,12.0,24.1,78,71,100,0,1,0
2024-01-01 06:00:00,-2.0,-6.4,0.0,0.0,0.0,0.02,10.7,22.7,74,3,100,0,0,0
2024-01-01 07:00:00,-2.2,-6.7,0.0,0.0,0.0,0.02,10.4,20.5,70,3,100,0,0,0
2024-01-01 08:00:00,-2.4,-6.8,0.0,0.0,0.0,0.02,9.2,20.2,69,3,100,0,0,0
2024-01-01 09:00:00,-2.4,-6.4,0.0,0.0,0.0,0.02,7.4,16.2,72,3,100,0,0,0
2024-01-01 10:00:00,-2.3,-6.2,0.0,0.0,0.0,0.02,6.6,14.8,71,3,100,0,0,0
2024-01-01 11:00:00,-1.9,-5.7,0.0,0.0,0.0,0.02,5.9,14.4,69,3,100,0,0,0
2024-01-01 12:00:00,-1.4,-5.0,0.0,0.0,0.0,0.02,4.8,14.0,69,3,100,0,0,0
2024-01-01 13:00:00,-0.9,-4.8,0.0,0.0,0.0,0.02,7.1,16.9,68,3,100,0,0,0
2024-01-01 14:00:00,-0.6,-5.0,0.0,0.0,0.0,0.02,9.7,20.9,65,3,100,0,0,0
2024-01-01 15:00:00,-0.6,-5.2,0.0,0.0,0.0,0.02,10.9,22.3,60,3,100,0,0,0
2024-01-01 16:00:00,-0.5,-5.3,0.0,0.0,0.0,0.02,11.7,23.8,58,3,100,0,0,0
2024-01-01 17:00:00,-0.8,-5.5,0.0,0.0,0.0,0.02,11.7,23.8,59,3,100,0,0,0
