date,n_road_permits,has_road_work
2025-01-01,749,1
2025-01-02,752,1
2025-01-03,749,1
2025-01-04,739,1
2025-01-05,733,1
2025-01-06,738,1
2025-01-07,744,1
2025-01-08,757,1
2025-01-09,764,1
2025-01-10,763,1
2025-01-11,759,1
2025-01-12,754,1
2025-01-13,757,1
2025-01-14,765,1
2025-01-15,767,1
2025-01-16,767,1
2025-01-17,765,1
2025-01-18,761,1
2025-01-19,754,1
2025-01-20,753,1
2025-01-21,796,1
2025-01-22,805,1
2025-01-23,799,1
2025-01-24,799,1
2025-01-25,793,1
2025-01-26,793,1
2025-01-27,786,1
2025-01-28,787,1
2025-01-29,795,1
2025-01-30,799,1
2025-01-31,813,1
2025-02-01,801,1
2025-02-02,796,1
2025-02-03,795,1
2025-02-04,805,1
2025-02-05,813,1
2025-02-06,817,1
2025-02-07,814,1
2025-02-08,810,1
2025-02-09,803,1
2025-02-10,789,1
2025-02-11,800,1
2025-02-12,806,1
2025-02-13,801,1
2025-02-14,810,1
2025-02-15,809,1
2025-02-16,803,1
2025-02-17,798,1
2025-02-18,798,1
2025-02-19,807,1
2025-02-20,811,1
2025-02-21,805,1
2025-02-22,798,1
2025-02-23,795,1
2025-02-24,821,1
2025-02-25,830,1
2025-02-26,835,1
2025-02-27,819,1
2025-02-28,828,1
2025-03-01,817,1
2025-03-02,813,1
2025-03-03,815,1
2025-03-04,819,1
2025-03-05,818,1
2025-03-06,818,1
2025-03-07,832,1
2025-03-08,832,1
2025-03-09,829,1
2025-03-10,836,1
2025-03-11,831,1
2025-03-12,834,1
2025-03-13,839,1
2025-03-14,857,1
2025-03-15,855,1
2025-03-16,852,1
2025-03-17,855,1
2025-03-18,875,1
2025-03-19,881,1
2025-03-20,877,1
2025-03-21,881,1
2025-03-22,879,1
2025-03-23,878,1
2025-03-24,901,1
2025-03-25,894,1
2025-03-26,896,1
2025-03-27,890,1
2025-03-28,888,1
2025-03-29,888,1
2025-03-30,887,1
2025-03-31,887,1
2025-04-01,887,1
2025-04-02,887,1
2025-04-03,894,1
2025-04-04,899,1
2025-04-05,891,1
2025-04-06,889,1
2025-04-07,892,1
2025-04-08,893,1
2025-04-09,902,1
2025-04-10,902,1
2025-04-11,912,1
2025-04-12,939,1
2025-04-13,939,1
2025-04-14,960,1
2025-04-15,980,1
2025-04-16,987,1
2025-04-17,995,1
2025-04-18,985,1
2025-04-19,982,1
2025-04-20,982,1
2025-04-21,983,1
2025-04-22,987,1
2025-04-23,1000,1
2025-04-24,999,1
2025-04-25,1006,1
2025-04-26,996,1
2025-04-27,995,1
2025-04-28,996,1
2025-04-29,1000,1
2025-04-30,1007,1
2025-05-01,1197,1
2025-05-02,1199,1
2025-05-03,1199,1
2025-05-04,1199,1
2025-05-05,1195,1
2025-05-06,1196,1
2025-05-07,1193,1
2025-05-08,1195,1
2025-05-09,1206,1
2025-05-10,1206,1
2025-05-11,1205,1
2025-05-12,1203,1
2025-05-13,1212,1
2025-05-14,1206,1
2025-05-15,1216,1
2025-05-16,1208,1
2025-05-17,1207,1
2025-05-18,1202,1
2025-05-19,1198,1
2025-05-20,1202,1
2025-05-21,1206,1
2025-05-22,1230,1
2025-05-23,1234,1
2025-05-24,1233,1
2025-05-25,1231,1
2025-05-26,1235,1
2025-05-27,1265,1
2025-05-28,1295,1
